Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study,Citation,Includes Race?,Indigenous Variable Mentioned,"Indigenous Variables - included, excluded, aggregated",Aggregation variable,Reason,Number of Cities,Census Unit,Number of Census Units,Independent Variable,Dependent Variable,Result,Country
"Urban green space access, social cohesion, and mental health outcomes before and during Covid-19","Wilson, B.; Neale, C.; Roe, J.","Physical activity offers significant mental health and social wellbeing benefits but social distancing and quarantine requirements during the pandemic along with disparities in access to parks and other urban green spaces limited the ability of some to pursue outdoor activities like recreational walking, jogging, or hiking. This paper asks: (1) how access to different types of urban green space varies by race and income, (2) how green space usage changed, and (3) how greenspace usage impacted mental health during the early phase of the pandemic. Using data from a household survey as well as anonymized GPS data generated by mobile devices, we explore these question in Richmond, Virginia. At the pandemic's onset, visits to green spaces declined regionally, but increased for low-income groups as a proportion of all visits. Structural equation modeling results suggest that mental health was directly influenced by social cohesion and race, with evidence of an indirect effect of greenspace usage on mental health through its impact on social cohesion. Social cohesion's effect on mental health was positive while respondents who identified as White were less likely to report positive mental health. We also find a strong, positive effect of greenspace use and satisfaction on social cohesion. © 2024 The Authors",2024,Cities,152,,,10.1016/j.cities.2024.105173,#1602,Wilson 2024,"Wilson et al., 2024",Yes,No,,,,,,,,,,
"Historical racial redlining and contemporary patterns of income inequality negatively affect birds, their habitat, and people in Los Angeles, California","Wood, EM; Esaian, S; Benitez, C; Ethington, PJ; Longcore, T; Pomara, LY","The Home Owners' Loan Corporation (HOLC) was a U.S. government-sponsored program initiated in the 1930s to evaluate mortgage lending risk. The program resulted in hand-drawn ""security risk"" maps intended to grade sections of cities where investment should be focused (greenlined areas) or limited (redlined zones). The security maps have since been widely criticized as being inherently racist and have been associated with high levels of segregation and lower levels of green amenities in cities across the country. Our goal was to explore the potential legacy effects of the HOLC grading practice on birds, their habitat, and the people who may experience them throughout a metropolis where the security risk maps were widely applied, Greater Los Angeles, California (L.A.). We used ground-collected, remotely sensed, and census data and descriptive and predictive modeling approaches to address our goal. Patterns of bird habitat and avian communities strongly aligned with the luxury-effect phenomenon, where green amenities were more robust, and bird communities were more diverse and abundant in the wealthiest parts of L.A. Our analysis also revealed potential legacy effects from the HOLC grading practice. Associations between bird habitat features and avian communities in redlined and greenlined zones were generally stronger than in areas of L.A. that did not experience the HOLC grading, in part because redlined zones, which included some of the poorest locations of L.A., had the highest levels of dense urban conditions (e.g., impervious surface cover), whereas greenlined zones, which included some of the wealthiest areas of the city, had the highest levels of green amenities (e.g., tree canopy cover). The White population of L.A., which constitutes the highest percentage of a racial or ethnic group in greenlined areas, was aligned with a considerably greater abundance of birds affiliated with natural habitat features (e.g., trees and shrubs). Conversely, the Hispanic or Latino population, which is dominant in redlined zones, was positively related to a significantly greater abundance of synanthropic birds, which are species associated with dense urban conditions. Our results suggest that historical redlining and contemporary patterns of income inequality are associated with distinct avifaunal communities and their habitat, which potentially influence the human experience of these components of biodiversity throughout L.A. Redlined zones and low-income residential areas that were not graded by the HOLC can particularly benefit from deliberate urban greening and habitat enhancement projects, which would likely carry over to benefit birds and humans.center dot Redlining was a racially biased investment and lending practice established in the 1930s and applied in 239 cities across the United States.center dot The program was terminated in 1968 but has since been linked with strong segregation of human communities, wealth, and green amenities in cities nationwide.center dot In Greater Los Angeles, California, redlining continues to be negatively related to avian community patterns, their habitat and the people who may experience them.center dot Luxury-effect patterns, where biodiversity is positively associated with affluence, largely predicted avifaunal patterns in Greater Los Angeles center dot Legacy-effect patterns due to historical redlining also showed strong relationships and patterns of bird habitat and community composition, suggesting the practice is potentially a powerful force structuring contemporary urban avifauna and human communities.center dot Careful yet deliberate action in urban greening could likely benefit birds and humans in redlined zones and other low-income areas of Greater Los Angeles.La Corporacion de Prestamos para Propietarios de Hogares (HOLC, por sus siglas en ingles) fue un programa patrocinado por el gobierno de EEUU, iniciado en la decada de 1930, para evaluar el riesgo en la concesion de hipotecas. El programa resulto en la creacion de mapas de ""riesgo de seguridad"" dibujados a mano, destinados a clasificar secciones de ciudades donde la inversion deberia centrarse (areas resaltadas en verde) o limitarse (zonas marcadas en rojo). Los mapas de seguridad han sido ampliamente criticados posteriormente por ser inherentemente racistas y se han asociado con altos niveles de segregacion y niveles mas bajos de comodidades verdes en ciudades de todo el pais. Nuestro objetivo fue explorar los posibles efectos heredados de la practica de calificacion de HOLC en las aves, su habitat y en las personas que podrian experimentarlos, en toda una metropolis donde los mapas de riesgo de seguridad se aplicaron ampliamente, el Gran Los angeles, California (L.A.). Utilizamos datos recopilados en el terreno, obtenidos de forma remota y censales, junto con enfoques descriptivos y de modelado predictivo, para abordar nuestro objetivo. Los patrones de habitat de las aves y de las comunidades de aves se alinearon fuertemente con el fenomeno del efecto de lujo, en el que las comodidades verdes fueron mas solidas y las comunidades de aves fueron mas diversas y abundantes en las partes mas ricas de L.A. Nuestro analisis tambien revelo posibles efectos heredados de la practica de calificacion de HOLC. Las asociaciones entre las caracteristicas del habitat de las aves y las comunidades de aves en las zonas marcadas en rojo y verde fueron generalmente mas fuertes que en las areas de L.A. que no experimentaron la calificacion de HOLC, en parte porque las zonas marcadas en rojo, que incluian algunas de las ubicaciones mas pobres de L.A., tuvieron los niveles mas altos de condiciones urbanas densas, como la cobertura de superficie impermeable, mientras que las zonas marcadas en verde, que incluian algunas de las areas mas ricas de la ciudad, tuvieron los niveles mas altos de comodidades verdes, como la cobertura de dosel arboreo. La poblacion blanca de L.A., que constituye el mayor porcentaje de un grupo racial o etnico en las areas resaltadas en verde, se correspondio con una abundancia considerablemente mayor de aves afiliadas a caracteristicas de habitat natural (e.g., arboles y arbustos). Por el contrario, la poblacion hispana o latina, que es dominante en las zonas marcadas en rojo, estuvo relacionada positivamente con una abundancia significativamente mayor de aves sinantropicas, que son especies asociadas con condiciones urbanas densas. Nuestros resultados sugieren que la discriminacion historica en la delimitacion de zonas y los patrones contemporaneos de desigualdad de ingresos estan asociados con comunidades de avifauna distintas y con sus habitats, lo que potencialmente influye en la experiencia humana de estos componentes de la biodiversidad en todo L.A. La delimitacion de zonas marcadas en rojo y las areas residenciales de bajos ingresos que no fueron calificadas por HOLC pueden beneficiarse especialmente de proyectos dirigidos al enverdecimiento urbano y a la mejora de habitat, que probablemente a su vez beneficiaran a las aves y los humanos.",2024,ORNITHOLOGICAL APPLICATIONS,126,1,,10.1093/ornithapp/duad044,#6600,Wood 2024,"Wood et al., 2024",Yes,No,,,,,,,,,,
"Equally green? Understanding the distribution of urban green infrastructure across student demographics in four public school districts in North Carolina, USA","Zhang, Z.; Martin, K.L.; Stevenson, K.T.; Yao, Y.","Green infrastructure (GI) provides a suite of ecosystem services that are widely recognized as critical to health, well-being, and sustainability on an urbanizing planet. However, the distribution of GI across urban landscapes is frequently uneven, resulting in unequal delivery of these services to low-income residents or those belonging to underserved racial/ethnic identities. While GI distribution has been identified as unequal across municipalities, we investigated whether this was true in public schoolyards within and among urban school districts. We examined schoolyards in four metropolitan areas of diverse socio-economic and demographic compositions in North Carolina, USA to determine if they provided equal exposure to GI, then compared whether this was true of the broader urban landscape. We first classified the land cover of elementary schoolyards and their neighborhoods, then used bivariate and multivariate approaches to analyze the relationships between GI (i.e. tree canopy cover and total GI) and the socioeconomic status and race/ethnicity of the schools and surrounding neighborhoods, respectively. We found that the extent of tree canopy cover and total GI in schoolyards was unrelated to the socioeconomic status and the race/ethnicity of students across the four school districts. In contrast, neighborhoods with lower socioeconomic status and larger populations of underserved race/ethnicity residents had less tree canopy cover and total GI. Although total GI was more evenly distributed in schoolyards, the extent of tree canopy cover and total GI in schoolyards was lower than that in the neighborhoods. This suggests opportunities for school districts to expand GI in schoolyards, leveraging their potential to increase ecosystem services to all children, from increased educational opportunities to improved mental, physical, and environmental well-being. © 2021 Elsevier GmbH",2022,Urban Forestry and Urban Greening,67,,,10.1016/j.ufug.2021.127434,#3324,Zhang 2022,"Zhang et al., 2022",Yes,No,,,,,,,,,,
Examining the distributional equity of urban tree canopy cover and ecosystem services across United States cities,"Riley, C.B.; Gardiner, M.M.","Examining the distributional equity of urban tree canopy cover (UTCC) has increasingly become an important interdisciplinary focus of ecologists and social scientists working within the field of environmental justice. However, while UTCC may serve as a useful proxy for the benefits provided by the urban forest, it is ultimately not a direct measure. In this study, we quantified the monetary value of multiple ecosystem services (ESD) provisioned by urban forests across nine U.S. cities. Next, we examined the distributional equity of UTCC and ESD using a number of commonly investigated socioeconomic variables. Based on trends in the literature, we predicted that UTCC and ESD would be positively associated with the variables median income and percent with an undergraduate degree and negatively associated with the variables percent minority, percent poverty, percent without a high school degree, percent renters, median year home built, and population density. We also predicted that there would be differences in the relationships between each response variable (UTCC and ESD) and the suite of socioeconomic predictor variables examined because of differences in how each response variable is derived. We utilized methods promoted within the environmental justice literature, including a multi-city comparative analysis, the incorporation of high-resolution social and environmental datasets, and the use of spatially explicit models. Patterns between the socioeconomic variables and UTCC and ESD did not consistently support our predictions, highlighting that inequities are generally not universal but rather context dependent. Our results also illustrated that although the variables UTCC and ESD had largely similar relationships with the predictor variables, differences did occur between them. Future distributional equity research should move beyond the use of proxies for environmental amenities when possible while making sure to consider that the use of ecosystem service estimates may result in different patterns with socioeconomic variables of interest. Based on our findings, we conclude that understanding and remedying the challenges associated with inequities requires an understanding of the local social-ecological system if larger sustainability goals are to be achieved. © 2020 Riley, Gardiner. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,PLOS ONE,15,2,,10.1371/journal.pone.0228499,#4077,Riley 2020,"Riley & Gardiner, 2020",Yes,,,,,,,,,,,
"Luxury and legacy effects on urban biodiversity, vegetation cover and ecosystem services","Aznarez, C; Svenning, JC; Pacheco, JP; Kallesoe, FH; Baro, F; Pascual, U","Socio-economic and historical drivers shape urban nature distribution and characteristics, as luxury (wealth-related) and legacy (historical management) effects. Using remote sensing and census data on biodiversity and socio-economic indicators, we examined these effects on urban biodiversity and vegetation cover in Vitoria-Gasteiz (Basque Country). We also tested the luxury and legacy hypotheses on regulating ecosystem services (ES) and explored predictor interactions. Higher educational attainment positively correlated with urban biodiversity, confirming the luxury effect, but had no effect on vegetation cover or ES. Older areas had higher vegetation cover and ES evidencing a legacy effect with an inverse response on biodiversity, attributable to more recent management strategies promoting biodiversity in green spaces. Habitat quality amplified the luxury effect, while population density strengthened the legacy effect. Our results suggest that urban biodiversity is mainly driven by socio-economic factors, while vegetation cover and ES are influenced by management legacies in interaction with population density.",2023,NPJ URBAN SUSTAINABILITY,3,1,,10.1038/s42949-023-00128-7,#7488,Aznarez 2023,"Aznarez et al., 2023",No,,,,,,,,,,,
Access to green and gray urban nature amenities: exploring equity in Montreal's built environment,"Chavez, J.A.J.; Boisjoly, G.; Manaugh, K.","Contemporary ideologies have identified two main paradigms contributing to sustainable cities: green urban and gray urban nature. The first refers to features that make cities greener, such as parks or tree coverage. The second refers to gray but sustainable areas, such as dense areas or the proximity to key amenities that can foster active travel. Accessibility to green and gray urban nature amenities by active transport is essential for evaluating if cities are sustainable. We analyzed the accessibility to green (green spaces) and gray (food stores and pharmacies) urban nature in Montreal. The findings show that most people have sufficient access to green and gray urban nature, and low-income groups have better access than high-income groups. Areas with access to both tend to be highly dense, suggesting that dense areas have sustainable attributes. Transport planning interventions in areas lacking access are necessary to achieve sustainable goals in Montreal. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2025,Transportation Planning and Technology,48,3,606-621,10.1080/03081060.2024.2399635,#1296,Chavez 2025,"Chavez et al., 2025",No,,,,,,,,,,,
Using anonymized mobility data to reduce inequality in the availability and use of urban parks,"Filazzola, A.; Xie, G.; Birchard, K.; Shrestha, N.; Brown, D.; MacIvor, J.S.","Parks are an integral component of cities. Ensuring city residents have equitable and easy access to parks is crucial for human well-being. In temperate climates, park accessibility is particularly important in the summer months when these green spaces provide an area to recreate, exercise and escape indoor temperatures and heat emanating from paved and built surfaces. However, there are well-known disparities in park accessibility in cities globally that may threaten the health of city residents, especially with global warming. We examined some of the largest city parks (>50 ha) in Toronto, Canada, by comparing park activity, housing demographics and daily weather patterns. We found that parks that provided more green space area per resident were situated in neighbourhoods that had higher proportions of single-detached housing, higher automobile use and fewer multistorey apartments. We also found a strong correlation between park activity with population density and the number of amenities in the park. Surprisingly, we found no relationship between park activity and daily weather patterns, although park use was higher on weekends and holidays. These results suggest denser communities are at a disadvantage because they have proportionately less park area within walking distance in addition to having no private green spaces (e.g. backyards). We recommend revising municipal zoning around certain parks and the creation of new green spaces as methods to balance park provisioning in the city. Our findings suggest that designing and maintaining accessible, amenity-rich parks is an important strategy for promoting health and well-being in urban populations. Read the free Plain Language Summary for this article on the Journal blog. © 2024 The Authors. People and Nature published by John Wiley & Sons Ltd on behalf of British Ecological Society.",2024,People and Nature,6,3,1143-1154,10.1002/pan3.10623,#1758,Filazzola 2024,"Filazzola et al., 2024",No,,,,,,,,,,,
Canopy of advantage: Who benefits most from city trees?,"Greene, C.S.; Robinson, P.J.; Millward, A.A.","Urban tree canopy provides a suite of ecological, social, and economic benefits to the residents of urban areas. With an expanding recognition of these benefits among city residents, there is growing concern that access to these benefits is not distributed equally and may represent the presence of an environmental injustice. This study examines the spatial relationship between median household income and tree canopy variables, specifically realized tree canopy cover and potential tree canopy cover, for Toronto, Canada. Toronto provides a strong empirical focus as it is a densely populated urban setting reported to be exhibiting an increase in the geographic polarization of residents based upon household income. Spatial relationships between median household income and tree canopy variables are evaluated using the bivariate Moran's I statistic, a specialized local indicator of spatial autocorrelation (LISA). This method explicitly identified where statistically significant spatial clusters of high and low household income coincide with significant clusters of high and low urban tree canopy, providing the basis for an examination of the policies and management decisions that led to this temporal snapshot. The importance of these spatial clusters is examined from the perspective of understanding the impact of urban change (both socio-demographic and built form), and from the standpoint of improving equality of access to city trees and their benefits resulting from future tree planting decisions. © 2017 Elsevier Ltd",2018,Journal of Environmental Management,208,,24-35,10.1016/j.jenvman.2017.12.015,#4581,Greene 2018,"Greene et al., 2018",No,,,,,,,,,,,
"Environmental Injustice, Tree Canopy Cover, and Academic Proficiency at Utah Public Primary Schools","Grineski, S.E.; Griego, A.; Mullen, C.; Collins, T.; Nadybal, S.; Mangadu, A.","Background: Tree canopy cover has mental and physical health benefits for children, yet distributional environmental injustices in tree canopy cover near schools are rarely investigated. Some evidence suggests that tree canopy coverage positively influences aggregated school-level children's academic proficiency metrics. There is a lack of research if canopy cover moderates the negative effect of particulate matter on academic proficiency. Methods: We linked data on schools from the National Center for Education Statistics, Utah's Student Assessment of Growth and Excellence, the National Land Cover Database, and the U.S. Environmental Protection Agency. We used generalized estimating equations, which account for non-normally distributed data and clustering, to analyze data from the 2015 to 2016 school year. Results: Greater school social disadvantage (higher percentages of students qualifying for free/reduced price meals and higher percentages of racial/ethnic minority students) was significantly associated with reductions in tree canopy cover within 1000 m and 500 m of the school. Greater tree canopy coverage at 1000 m and 500 m was significantly associated with a lower percentage of students testing below proficient on year-end math and language arts exams. Additional days of peak fine particulate matter were associated with higher percentages of students testing below proficient in math. Discussion: Socially disadvantaged primary schools in Utah were surrounded by less canopy cover. There was a protective effect of tree canopy cover on academic proficiency in math and language arts. Conclusion: Findings suggest targeting carefully designed tree planting efforts at socially disadvantaged schools and testing interventions involving tree planting and changes in academic proficiency. © 2024 Mary Ann Liebert Inc.. All rights reserved.",2024,Environmental Justice,17,1,15-30,10.1089/env.2021.0113,#1930,Grineski 2024,"Grineski et al., 2024",No,,,,,,,,,,,
"Ecosystem services and urban heat riskscape moderation: Water, green spaces, and social inequality in Phoenix, USA","Jenerette, G.D.; Harlan, S.L.; Stefanov, W.L.; Martin, C.A.","Urban ecosystems are subjected to high temperatures-extreme heat events, chronically hot weather, or both-through interactions between local and global climate processes. Urban vegetation may provide a cooling ecosystem service, although many knowledge gaps exist in the biophysical and social dynamics of using this service to reduce climate extremes. To better understand patterns of urban vegetated cooling, the potential water requirements to supply these services, and differential access to these services between residential neighborhoods, we evaluated three decades (1970-2000) of land surface characteristics and residential segregation by income in the Phoenix, Arizona, USA metropolitan region. We developed an ecosystem service trade-offs approach to assess the urban heat riskscape, defined as the spatial variation in risk exposure and potential human vulnerability to extreme heat. In this region, vegetation provided nearly a 25°C surface cooling compared to bare soil on low-humidity summer days; the magnitude of this service was strongly coupled to air temperature and vapor pressure deficits. To estimate the water loss associated with land-surface cooling, we applied a surface energy balance model. Our initial estimates suggest 2.7 mm/d of water may be used in supplying cooling ecosystem services in the Phoenix region on a summer day. The availability and corresponding resource use requirements of these ecosystem services had a strongly positive relationship with neighborhood income in the year 2000. However, economic stratification in access to services is a recent development: no vegetation-income relationship was observed in 1970, and a clear trend of increasing correlation was evident through 2000. To alleviate neighborhood inequality in risks from extreme heat through increased vegetation and evaporative cooling, large increases in regional water use would be required. Together, these results suggest the need for a systems evaluation of the benefits, costs, spatial structure, and temporal trajectory for the use of ecosystem services to moderate climate extremes. Increasing vegetation is one strategy for moderating regional climate changes in urban areas and simultaneously providing multiple ecosystem services. However, vegetation has economic, water, and social equity implications that vary dramatically across neighborhoods and need to be managed through informed environmental policies. © 2011 by the Ecological Society of America.",2011,Ecological Applications,21,7,2637-2651,10.1890/10-1493.1,#5399,Jenerette 2011,"Jenerette et al., 2011",No,,,,,,,,,,,
Convergence of urban forest and socio-economic indicators of resilience: A study of environmental inequality in four major cities in eastern Canada,"Landry, F; Dupras, J; Messier, C","Environmental inequality is a phenomenon drawing much attention in the scientific and policy-making debates about urban forests and city greening. Most studies on the subject have shown that socially vulnerable, multicultural neighborhoods are disproportionately affected by the lack of urban forest while richer neighborhoods tend to be greener. But are there differences in the resilience of urban forests between poor and rich neighborhoods? We tackled this question using a newly developed indicator of urban forest resilience, functional diversity, to determine if environmental injustice is also found in the resilience of urban forests in poor neighborhoods. Using Canadian census data at the census tract scale, Sentinel-2 satellite imagery and urban tree inventories, this study investigated if urban forest resilience is also part of the environmental inequality phenomenon in four urban areas in eastern Canada: Toronto, Gatineau-Ottawa, Montreal and Quebec City. Multivariate analysis of the dataset shows that urban forest functional diversity, used as an indicator of resilience, is inversely correlated to a set of variables associated with social vulnerability. The same relationship also exists with canopy cover; a pattern of inequality found in many cities around the world. With these findings, we show that social vulnerability and urban forest resilience are intertwined, meaning that neighborhoods already lacking urban forest are also more at risk of losing it due to a sudden environmental disturbance. When confronted with global change, considering this new insight into urban environmental inequality could be of great importance for maintaining a comfortable living environment for every city-dweller.",2020,LANDSCAPE AND URBAN PLANNING,202,,,10.1016/j.landurbplan.2020.103856,#6510,Landry 2020,"Landry et al., 2020",No,,,,,,,,,,,
"Do infrastructure deserts exist? Measuring and mapping infrastructure equity: A case study in Dallas, Texas, USA","Li, Z; Wang, XL; Zarazaga, J; Smith-Colin, J; Minsker, B","Neighborhood infrastructure, such as sidewalks, medical facilities, public transit, community gathering places, and tree canopy, provides essential support for safe, healthy, and resilient communities. This paper examines the presence and condition of neighborhood infrastructure and shows that ""infrastructure deserts "" exist, which are low-income neighborhoods with significantly more deficient infrastructure. A generalized data-driven frame-work is developed and implemented at the street-level for 12 types of neighborhood infrastructure in Dallas, Texas. The results show significant infrastructure inequities across income levels for most types of infrastructure. Statistical inference predicts (with 95 % confidence) that low-income neighborhoods are 2.0 to 3.5 times more likely to have highly deficient infrastructure (8 or more deficient infrastructure types) than high-income areas and 1.4 to 2.4 times more likely to have highly deficient infrastructure than middle-income neighborhoods. This paper addresses the methodological challenge of considering multiple infrastructure types and provides a guide for infrastructure investment prioritization.",2022,CITIES,130,,,10.1016/j.cities.2022.103927,#8173,Li 2022,"Li et al., 2022",No,,,,,,,,,,,
Vulnerable groups in severe heat: A study assessing the impacts of climate and Pocket Park visitations pre-post the pandemic,"Liu, P.; Guo, Z.; Song, Y.; Fernandez, J.","Urbanization and climate change are intensifying disparities in access to green spaces, particularly for vulnerable populations such as low-income groups and older adults in areas with sever heat. COVID-19 and its aftereffects exacerbate this inequity of urban land use, especially for these populations. While previous studies explored park uses and the effects of climate, limited study have investigated how small scale urban park visitation patterns are shaped by the combined influence of park features and climate conditions using large scale smart phone mobility data, especially across different phases of a disruptive event like a pandemic. This study examines how pocket parks—small, neighborhood-based green spaces—serve as critical resources for these groups in high-density urban areas, focusing on Austin, Texas, as a case study. By analyzing visitation patterns before and during the pandemic using geospatial data and novel smartphone mobility data retrieved from Advan from 2018 to 2021, the research reveals an increasing trend of low-income groups and older adults relying heavily on pocket parks due to limited access to larger green spaces and private outdoor areas during the pandemic. Older adults and low-income groups were more sensitive to precipitation, wind, and maximin temperature during the pandemic as these factors closely associated with virus transmission. Park features that contribute to micro-climate regulation and health promotion reported higher significance to these visitors than areas designed for group activities since such features can decrease the effects of extreme heat and the risks of infection. These results underscore the need for equitable urban land use policies that prioritize the development and maintenance of pocket parks in underserved communities, especially under severe urban climate. By addressing both social and environmental vulnerabilities, this study contributes actionable insights for urban planners and policymakers striving to create inclusive and resilient cities with consideration of public health. © 2025 Elsevier B.V.",2025,Urban Climate,61,,,10.1016/j.uclim.2025.102444,#703,Liu 2025,"Liu et al., 2025",No,,,,,,,,,,,
Disparities in urban neighborhood conditions: evidence from GIS measures and field observation in New York City.,"Neckerman, KM; Lovasi GS; Davies S; Purciel M; Quinn J; Feder E; Raghunath N; Wasserman B; Rundle A","Although many low-income urban areas are highly walkable by conventional measures such as population density or land use mix, chronic diseases related to lack of physical activity are more common among residents of these areas. Disparities in neighborhood conditions may make poor areas less attractive environments for walking, offsetting the advantages of density and land use mix. This study compared poor and nonpoor neighborhoods in New York City, using geographic information systems measures constructed from public data for US census tracts within New York City (N=2,172) as well as field observation of a matched-pair sample of 76 block faces on commercial streets in poor and nonpoor neighborhoods. Poor census tracts had significantly fewer street trees, landmarked buildings, clean streets, and sidewalk cafes, and higher rates of felony complaints, narcotics arrests, and vehicular crashes. The field observation showed similar results. Improving aesthetic and safety conditions in poor neighborhoods may help reduce disparities in physical activity among urban residents.",2009,J Public Health Policy,30 Suppl 1,,S264-85,10.1057/jphp.2008.47,#6136,Neckerman 2009,"Neckerman et al., 2009",No,,,,,,,,,,,
"Inequality and allergenic cover of urban greenspaces surrounding public elementary schools in Vancouver, British Columbia, Canada","Ng, A.; Gergel, S.E.; Eskelson, B.N.I.","Inequality in the spatial distribution of urban greenspaces occurs globally, with greater greenspaces in neighbourhoods with higher socioeconomic status. This is problematic, as greenspaces provide numerous ecosystem services, including benefits to human health. However, greenspaces can also trigger allergenic responses, inducing negative economic, medical, and social costs. Using geospatial information, we investigated 91 elementary schools in Vancouver, British Columbia, Canada to answer: (1) Does the amount and type of greenspaces and greyspaces surrounding schools vary with median household income? and (2) Does the surface area of allergenic greenspace surrounding schools vary with median household income? We characterized landcover within a 300 m radius of public elementary schools using a high spatial resolution urban landcover map of Vancouver derived from a combination of RapidEye imagery from 2014 and airborne laser scanning. Beta regression and analysis of variance models were used to explore associations between household incomes and greenspaces, as well as allergenic vegetation near schools. Schools in areas with higher median annual household incomes (>$80,000 CAD) were surrounded by an average of 14% more greenspaces and 16% less greyspaces than schools located in areas with lower household incomes (<$50,000 CAD). Schools in higher income areas were also surrounded by an average of 81% more cover of allergenic vegetation than schools in lower income areas. Greenspaces are a valuable source of ecosystem services for urban residents and should be distributed equally to optimize their benefits; however, they must be planned carefully to avoid the introduction of disservices from allergenic vegetation. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2021,Ecosystems and People,17,1,178-190,10.1080/26395916.2021.1903557,#3788,Ng 2021,"Ng et al., 2021",No,,,,,,,,,,,
Equal Opportunity Streets: Assessing the Equity of Publicly Provisioned Street Trees in Walk Zones Surrounding Elementary Schools,"Paddle, E.; Gilliland, J.","Given the previously established, social, economic, and healthful benefits of nearby nature in local environments, we argue that the provision of publicly funded street trees as a positive urban environmental exposure should be considered as an ""environmental justice"" issue. Accordingly, the study examines the distribution of street trees within a 10-minute walking radius around elementary schools in four communities of different sizes in Ontario, Canada, to assess potential levels of ""exposure"" to these positive natural features among school-age children of different sociodemographic backgrounds. A geographic information system incorporating detailed geodatabases of pubic trees and elementary schools in Stratford, Woodstock, Brantford, and London was used to analyze the spatial distribution of trees in relation to the socioeconomic characteristics of neighborhood walking zones around every elementary school. Our findings indicate that the spatial distribution of street trees in the immediate vicinity around the schools in the four southwestern Ontario cities studied closely mirrors the pattern of socioeconomic distress in those same cites. The findings point to a greater need for municipal planners, policymakers, and community-based organizations to carefully consider the socioeconomic characteristics of neighborhoods to ensure that future tree planting efforts are conducted in an equitable manner and targeted to the areas with the greatest need for the associated benefits they provide. © 2018, Mary Ann Liebert, Inc.",2018,Environmental Justice,11,4,154-164,10.1089/env.2017.0002,#4507,Paddle 2018,"Paddle & Gilliland, 2018",No,,,,,,,,,,,
"Predictors of the distribution of street and backyard vegetation in Montreal, Canada.","Pham, T.-T.-H.; Apparicio, P.; Landry, S.M.; Sa�©guin, A.-M.; Gagnon, M.","Urban vegetation is shown to be unevenly distributed across cities and there is evidence of disparities in benefits provided by vegetation and of public health problems induced by urban heat islands. In order to improve vegetation cover, it remains crucial to understand the underpinning of such unevenness. In this paper, we investigate in Montreal (Canada) how the built environment, sociodemographic factors and administrative boroughs influence tree and lawn cover in public and residential land. The analysis was conducted at the dissemination area (DA) level, a Canadian census unit containing about 400-700 people. Six vegetation indicators were used as dependent variables: the proportion of a DA covered by trees/shrubs, lawn and total vegetation; the proportion of streets covered by trees/shrubs and the proportion of residential yards covered by trees/shrubs and total vegetation. Three sets of independent variables were studied: the built environment, sociodemographics and borough names. We used spatial autoregressive models to control for dependence and the spatial autoregressive term explained a large amount of variability in vegetation cover. The built-environment variables tend to have higher effects than the socio-demographic variables when predicting the three DA vegetation indicators, backyard vegetation, and to a lesser degree, street tree/shrub cover. In particular, population density is associated negatively to all indicators but positively to street tree cover. Socio-demographics are substantial in the explanation of the distribution of street trees, especially the presence of recent immigrants (negative effect) and of university degree holders (positive effect). These findings call for appropriate greening programs adapted to the local socio-demographic profile. The significance of boroughs also suggests the need for further research on the impact of within-city administrative hierarchies on the unevenness of urban vegetation. © 2012 Elsevier GmbH.",2013,Urban Forestry and Urban Greening,12,1,18-27,10.1016/j.ufug.2012.09.002,#5283,Pham 2013,"Pham et al., 2013",No,,,,,,,,,,,
"Access to Parks and Green Spaces in Quebec City, Canada: Developing Children-Specific Accessibility Measures","Robillard, A.; Boisjoly, G.; Waygood, E.O.D.","Accessibility indicators are gaining traction in research and planning as they provide a joint understanding of how transport networks and land-use patterns enable individuals to reach a variety of destinations. Local accessibility is especially beneficial for children as they do not have the same capacities to travel as adults and their independent mobility is generally constrained to active modes such as walking and cycling. Further, active and independent travel are linked to their health and well-being. Yet, there does not appear to have been much work done in relation to developing accessibility indicators specific to children. This study presents a methodology to specifically assess accessibility to parks (a key destination for children) on foot and by bicycle for children in Quebec City, Canada using open-access data. Accessibility indicators were generated for each residential lot based on the suitability of the pedestrian and cycling infrastructure for children. The number of parks accessible was presented and the equity of accessibility to parks was considered through population and socioeconomic measures. The results revealed a notable decrease in walking accessibility when only dedicated pedestrian infrastructure was considered, and differences between walking and cycling accessibility. This enabled the identification of accessibility gaps where the existing infrastructure did not provide safe access to parks and green spaces for children This research will be of interest to researchers and planners aiming to refine accessibility indicators to support children’s independent mobility, while taking equity into consideration. © National Academy of Sciences: Transportation Research Board 2023.",2023,Transportation Research Record,2677,10,464-477,10.1177/03611981231161618,#2293,Robillard 2023,"Robillard et al., 2023",No,,,,,,,,,,,
